physio,geometry,spearman_r,p,n,p_fdr,sig_fdr05
resp_anchor_index,m_median,-0.16059302485068394,0.0637917685302926,134,0.4465423797120482,False
resp_anchor_index,d_median,0.16822903028716069,0.052013906000160426,134,0.40960950975126337,False
resp_anchor_index,e_median,-0.0922230950510605,0.2892272349126872,134,0.8282416272499679,False
resp_anchor_index,block_frobenius_mean,-0.05123505280614472,0.5565869891841866,134,0.9191141202789888,False
resp_anchor_index,block_trace_mean,-0.06172396164540706,0.47864194796604276,134,0.9191141202789888,False
resp_anchor_index,c_rot_mean,-0.04399805483858901,0.6137082483618795,134,0.9191141202789888,False
resp_anchor_index,block_anisotropy_mean,-0.07437249841020462,0.39308181835064104,134,0.9191141202789888,False
resp_regular_index,m_median,-0.1736804698312947,0.044755959661676954,134,0.40960950975126337,False
resp_regular_index,d_median,0.0077931146273644315,0.9287894425751921,134,0.9669826127715819,False
resp_regular_index,e_median,-0.13134078978540883,0.1303567632916396,134,0.5369840100397714,False
resp_regular_index,block_frobenius_mean,0.0331400640905747,0.7038456579361392,134,0.962829188210203,False
resp_regular_index,block_trace_mean,0.027908078654347315,0.7488962383070465,134,0.9628665921090598,False
resp_regular_index,c_rot_mean,-0.0023167371164228984,0.9788051297695699,134,0.9788051297695699,False
resp_regular_index,block_anisotropy_mean,-0.05678125662414744,0.5146213760458382,134,0.9191141202789888,False
resp_phase_consistency,m_median,-0.18011945286100825,0.037290984404618255,134,0.40960950975126337,False
resp_phase_consistency,d_median,-0.05824760907243232,0.503804403889649,134,0.9191141202789888,False
resp_phase_consistency,e_median,-0.09558473297672042,0.27193177340557106,134,0.8157953202167133,False
resp_phase_consistency,block_frobenius_mean,0.031449269941021714,0.7183011404107864,134,0.962829188210203,False
resp_phase_consistency,block_trace_mean,0.08282148156460804,0.34141063731023413,134,0.9191141202789888,False
resp_phase_consistency,c_rot_mean,-0.013040062843676354,0.881126128039077,134,0.9669826127715819,False
resp_phase_consistency,block_anisotropy_mean,-0.06150949513086199,0.48017439199136214,134,0.9191141202789888,False
resp_rate_bpm,m_median,0.12933690614882254,0.1363768914386721,134,0.5369840100397714,False
resp_rate_bpm,d_median,-0.14365391785659862,0.09773486564312717,134,0.4736381950397701,False
resp_rate_bpm,e_median,0.08006902889767745,0.35775036239729574,134,0.9191141202789888,False
resp_rate_bpm,block_frobenius_mean,0.02535215833848659,0.7712274179739339,134,0.9669826127715819,False
resp_rate_bpm,block_trace_mean,0.05707602281063767,0.512437406877428,134,0.9191141202789888,False
resp_rate_bpm,c_rot_mean,0.01569609330930893,0.8571492227685142,134,0.9669826127715819,False
resp_rate_bpm,block_anisotropy_mean,0.04489122587557516,0.6065216920928891,134,0.9191141202789888,False
ecg_hrv_rmssd_ms,m_median,0.011458995748076661,0.8954517310455627,134,0.9669826127715819,False
ecg_hrv_rmssd_ms,d_median,-0.051998154590456244,0.5507164830908655,134,0.9191141202789888,False
ecg_hrv_rmssd_ms,e_median,0.04867142981832692,0.5765267147238125,134,0.9191141202789888,False
ecg_hrv_rmssd_ms,block_frobenius_mean,0.04483098292996172,0.6070052425313346,134,0.9191141202789888,False
ecg_hrv_rmssd_ms,block_trace_mean,0.037843364630481685,0.6642012476350263,134,0.9510154227501513,False
ecg_hrv_rmssd_ms,c_rot_mean,0.02366363670369955,0.7860848714958316,134,0.9669826127715819,False
ecg_hrv_rmssd_ms,block_anisotropy_mean,0.05041209990149504,0.5629515318227516,134,0.9191141202789888,False
ecg_hrv_sdnn_ms,m_median,0.05424755919649872,0.5335892129105486,134,0.9191141202789888,False
ecg_hrv_sdnn_ms,d_median,-0.0646067906083617,0.45830161421021276,134,0.9191141202789888,False
ecg_hrv_sdnn_ms,e_median,0.03198793002406514,0.7136847351258265,134,0.962829188210203,False
ecg_hrv_sdnn_ms,block_frobenius_mean,0.17540118954101677,0.04264840994260548,134,0.40960950975126337,False
ecg_hrv_sdnn_ms,block_trace_mean,0.006386613299417699,0.9416163223337876,134,0.9669826127715819,False
ecg_hrv_sdnn_ms,c_rot_mean,0.15332111372959764,0.07694972616430434,134,0.4736381950397701,False
ecg_hrv_sdnn_ms,block_anisotropy_mean,0.0973902417735882,0.26293750106792035,134,0.8157953202167133,False
cardioresp_rsa_amplitude,m_median,0.006795595955061785,0.9378848293343621,134,0.9669826127715819,False
cardioresp_rsa_amplitude,d_median,-0.07151959500741906,0.411535100712376,134,0.9191141202789888,False
cardioresp_rsa_amplitude,e_median,-0.005289342759884787,0.9516336824101282,134,0.9669826127715819,False
cardioresp_rsa_amplitude,block_frobenius_mean,0.043519245875883746,0.6175760201712842,134,0.9191141202789888,False
cardioresp_rsa_amplitude,block_trace_mean,0.04231723587575905,0.6273318598729606,134,0.9191141202789888,False
cardioresp_rsa_amplitude,c_rot_mean,0.01848651479444881,0.8320991274219224,134,0.9669826127715819,False
cardioresp_rsa_amplitude,block_anisotropy_mean,0.029603860397261813,0.7341929012551361,134,0.9628665921090598,False
cardioresp_coupling_index,m_median,-0.07293607152208882,0.40231024944898786,134,0.9191141202789888,False
cardioresp_coupling_index,d_median,-0.009503859150363472,0.9132128904947512,134,0.9669826127715819,False
cardioresp_coupling_index,e_median,-0.006960186535991721,0.9363835068105604,134,0.9669826127715819,False
cardioresp_coupling_index,block_frobenius_mean,-0.22088804099801745,0.010324404285520844,134,0.40960950975126337,False
cardioresp_coupling_index,block_trace_mean,0.10841282310253246,0.21243765727529848,134,0.7043985478075686,False
cardioresp_coupling_index,c_rot_mean,-0.20366588112071224,0.01825965911160496,134,0.40960950975126337,False
cardioresp_coupling_index,block_anisotropy_mean,-0.1720644895821644,0.046813609888823916,134,0.40960950975126337,False
eog_eye_stability_index,m_median,0.11140176712559312,0.2000251105091646,134,0.7000878867820761,False
eog_eye_stability_index,d_median,-0.015044097540652605,0.8630238278861289,134,0.9669826127715819,False
eog_eye_stability_index,e_median,0.13600893430849384,0.11712458633807166,134,0.5270606385213225,False
eog_eye_stability_index,block_frobenius_mean,0.14400563909554615,0.09690787187821638,134,0.4736381950397701,False
eog_eye_stability_index,block_trace_mean,0.14978894793091824,0.084087295898933,134,0.4736381950397701,False
eog_eye_stability_index,c_rot_mean,0.11189890684837456,0.19801243936550347,134,0.7000878867820761,False
eog_eye_stability_index,block_anisotropy_mean,0.1815259481229559,0.03580802949282589,134,0.40960950975126337,False
