subject_id,task_label,n_epochs,n_ok,qc_ok_frac
sub-S200303,cognitive_control,260,100,0.385
sub-S200120,rest,124,124,1.0
sub-S200313,rest,122,122,1.0
sub-S210317,rest,123,123,1.0
sub-S210225,rest,126,126,1.0
sub-S210202,rest,126,126,1.0
sub-S200211,rest,125,125,1.0
sub-S200302,rest,125,125,1.0
sub-S210208,rest,124,124,1.0
sub-S200212,rest,124,124,1.0
sub-S200217,rest,124,124,1.0
sub-S201120,rest,124,124,1.0
sub-S201223,rest,123,123,1.0
sub-S200221,rest,126,126,1.0
sub-S210215,rest,123,123,1.0
sub-S210120,rest,123,123,1.0
sub-S201126,rest,125,125,1.0
sub-S200310,rest,124,124,1.0
sub-S200131,rest,126,126,1.0
sub-S200205,rest,128,128,1.0
sub-S200116,rest,126,126,1.0
sub-S210217,rest,122,122,1.0
sub-S210204,rest,124,124,1.0
sub-S200203,rest,127,127,1.0
sub-S210203,rest,124,124,1.0
sub-S200228,rest,123,123,1.0
sub-S200309,rest,124,124,1.0
sub-S200225,rest,125,125,1.0
sub-S210224,rest,124,124,1.0
sub-S210127,rest,127,127,1.0
sub-S200311,rest,121,121,1.0
sub-S200207,rest,139,139,1.0
sub-S201118,rest,124,124,1.0
sub-S200122,rest,127,127,1.0
sub-S210209,rest,124,124,1.0
sub-S210316,rest,124,124,1.0
sub-S201105,rest,125,125,1.0
sub-S200214,rest,127,127,1.0
sub-S210315,rest,124,124,1.0
sub-S200121,rest,127,127,1.0
sub-S200306,rest,146,127,0.87
sub-S210118,rest,125,125,1.0
sub-S210128,rest,130,130,1.0
sub-S200120,cognitive_control,248,248,1.0
sub-S200116,cognitive_control,227,227,1.0
sub-S200211,cognitive_control,240,240,1.0
sub-S210225,cognitive_control,246,246,1.0
sub-S210202,cognitive_control,247,247,1.0
sub-S210204,cognitive_control,253,253,1.0
sub-S200313,cognitive_control,246,246,1.0
sub-S200309,cognitive_control,250,250,1.0
sub-S200207,cognitive_control,266,266,1.0
sub-S200217,cognitive_control,242,242,1.0
sub-S210317,cognitive_control,263,263,1.0
sub-S210208,cognitive_control,251,251,1.0
sub-S200212,cognitive_control,254,254,1.0
sub-S201223,cognitive_control,259,259,1.0
sub-S200121,cognitive_control,246,246,1.0
sub-S210209,cognitive_control,240,239,0.996
sub-S210224,cognitive_control,259,259,1.0
sub-S200310,cognitive_control,261,261,1.0
sub-S210215,cognitive_control,256,256,1.0
sub-S210217,cognitive_control,261,261,1.0
sub-S201120,cognitive_control,261,261,1.0
sub-S200302,cognitive_control,269,269,1.0
sub-S210128,cognitive_control,267,267,1.0
sub-S210118,cognitive_control,270,270,1.0
sub-S200205,cognitive_control,268,267,0.996
sub-S200214,cognitive_control,241,241,1.0
sub-S200221,cognitive_control,266,262,0.985
sub-S200203,cognitive_control,329,292,0.888
sub-S200306,cognitive_control,247,247,1.0
sub-S201118,cognitive_control,264,264,1.0
sub-S210203,cognitive_control,257,257,1.0
sub-S200225,cognitive_control,265,265,1.0
sub-S200311,cognitive_control,263,263,1.0
sub-S200131,cognitive_control,266,266,1.0
sub-S201222,cognitive_control,268,268,1.0
sub-S210315,cognitive_control,268,268,1.0
sub-S201105,cognitive_control,267,267,1.0
sub-S200122,cognitive_control,261,261,1.0
sub-S210127,cognitive_control,271,271,1.0
sub-S210316,cognitive_control,282,282,1.0
sub-S200228,cognitive_control,271,271,1.0
sub-S210120,cognitive_control,279,279,1.0
sub-S201126,cognitive_control,332,332,1.0
sub-S200217,gambling,600,312,0.52
sub-S200205,gambling,912,912,1.0
sub-S200120,gambling,896,896,1.0
sub-S210224,gambling,887,887,1.0
sub-S210208,gambling,858,858,1.0
sub-S200309,gambling,866,866,1.0
sub-S210225,gambling,908,908,1.0
sub-S200207,gambling,897,897,1.0
sub-S200211,gambling,876,876,1.0
sub-S200311,gambling,886,886,1.0
sub-S200116,gambling,875,875,1.0
sub-S200302,gambling,909,909,1.0
sub-S210317,gambling,878,878,1.0
sub-S200212,gambling,916,916,1.0
sub-S210204,gambling,940,940,1.0
sub-S210215,gambling,877,877,1.0
sub-S200313,gambling,894,894,1.0
sub-S201120,gambling,909,909,1.0
sub-S210202,gambling,967,967,1.0
sub-S210217,gambling,909,909,1.0
sub-S210128,gambling,898,898,1.0
sub-S210315,gambling,914,914,1.0
sub-S200303,gambling,880,880,1.0
sub-S201105,gambling,933,933,1.0
sub-S210209,gambling,902,902,1.0
sub-S210203,gambling,901,901,1.0
sub-S210118,gambling,943,943,1.0
sub-S200306,gambling,867,867,1.0
sub-S200225,gambling,966,966,1.0
sub-S200214,gambling,885,885,1.0
sub-S201223,gambling,954,954,1.0
sub-S200122,gambling,904,904,1.0
sub-S200221,gambling,935,935,1.0
sub-S210127,gambling,891,891,1.0
sub-S200310,gambling,947,947,1.0
sub-S201126,gambling,949,949,1.0
sub-S201222,gambling,880,880,1.0
sub-S200228,gambling,916,916,1.0
sub-S201118,gambling,900,900,1.0
sub-S210120,gambling,954,954,1.0
sub-S200121,gambling,958,958,1.0
sub-S200131,gambling,1021,1021,1.0
sub-S210316,gambling,1164,1164,1.0
