metric,task1,task2,wilcoxon_stat,p,cohen_d,n_pairs,p_fdr
block_frobenius_mean,gambling,cognitive_control,0.0,1.1368683772161603e-13,1.6954136209035389,44,1.3642420526593924e-12
block_frobenius_mean,gambling,rest,182.0,0.00014390974854450178,0.5956141484009396,44,0.0005756389941780071
block_frobenius_mean,cognitive_control,rest,291.0,0.009789482722624143,-0.45595935457711756,45,0.014684224083936215
block_trace_mean,gambling,cognitive_control,272.0,0.008474303208231504,-0.25806023453840055,44,0.014527376928396864
block_trace_mean,gambling,rest,493.0,0.9861753681161645,-0.029684511830267143,44,0.9861753681161645
block_trace_mean,cognitive_control,rest,373.0,0.10450369263605808,0.1757170470378998,45,0.1254044311632697
block_anisotropy_mean,gambling,cognitive_control,219.0,0.0009417810549621208,0.3883001741223333,44,0.0028253431648863625
block_anisotropy_mean,gambling,rest,308.0,0.02851900935422691,-0.1464019227660702,44,0.03802534580563588
block_anisotropy_mean,cognitive_control,rest,472.0,0.6147444267971309,-0.1510878853554456,45,0.6706302837786883
c_rot_mean,gambling,cognitive_control,9.0,3.751665644813329e-12,1.3950156293113125,44,2.2509993868879974e-11
c_rot_mean,gambling,rest,241.0,0.0025005251752645563,0.31813597446310427,44,0.006001260420634935
c_rot_mean,cognitive_control,rest,271.0,0.004733676340492821,-0.47578447460940143,45,0.009467352680985641
