task,mnj_metric,r_resp_anchor,p_resp_anchor,r_hrv_rmssd,p_hrv_rmssd,r_rsa,p_rsa,n,p_fdr_resp,sig_fdr05_resp
gambling,frobenius_norm,-0.21578576462297389,0.15948947857560913,0.002818886539816772,0.9855111320446915,-0.02142353770260747,0.8902148379102397,44,0.4784684357268274,False
gambling,rotation_norm,-0.21930937279774487,0.1526211116116185,0.040169133192389,0.7957234958199397,0.007470049330514446,0.9616167456935361,44,0.4784684357268274,False
gambling,trace,0.020014094432699085,0.8973976856937718,-0.0975334742776603,0.5287970926649218,-0.12036645525017617,0.43640904668972524,44,0.917217339640297,False
gambling,spectral_radius,-0.25299506694855534,0.09753029938734506,-0.0945736434108527,0.5414366580410492,-0.1295278365045807,0.40203391461330407,44,0.4784684357268274,False
gambling,rotational_power,-0.040310077519379844,0.7950221186339659,0.06779422128259337,0.6619273988496763,0.03579985905567301,0.8175424956355567,44,0.917217339640297,False
gambling,aci,-0.040310077519379844,0.7950221186339659,0.06779422128259337,0.6619273988496763,0.03579985905567301,0.8175424956355567,44,0.917217339640297,False
gambling,mdr,-0.058350951374207184,0.7067425232013373,-0.08879492600422832,0.5665250330332328,-0.09992952783650456,0.5186722305069342,44,0.917217339640297,False
cognitive_control,frobenius_norm,0.02015810276679842,0.8954330400295156,-0.1152832674571805,0.45078845336748796,-0.09025032938076416,0.5554680374256553,45,0.917217339640297,False
cognitive_control,rotation_norm,0.02121212121212121,0.8899982001042854,-0.2102766798418972,0.1656118769065179,-0.18168642951251648,0.23229612660287133,45,0.917217339640297,False
cognitive_control,trace,-0.16455862977602106,0.28004685375211685,0.16324110671936756,0.2839685418274014,0.10039525691699604,0.5117075288982544,45,0.7067171131956408,False
cognitive_control,spectral_radius,-0.05836627140974967,0.7033219744384505,0.1281949934123847,0.40134056796661444,0.11607378129117257,0.44766871386409945,45,0.917217339640297,False
cognitive_control,rotational_power,-0.015942028985507246,0.9172173396402968,-0.028590250329380756,0.852107366806732,-0.04993412384716732,0.7446168997830169,45,0.917217339640297,False
cognitive_control,aci,-0.015942028985507246,0.9172173396402968,-0.028590250329380756,0.852107366806732,-0.04993412384716732,0.7446168997830169,45,0.917217339640297,False
cognitive_control,mdr,0.06455862977602107,0.6735172433896706,-0.051778656126482206,0.7355182460842924,0.013702239789196309,0.9288157061907352,45,0.917217339640297,False
rest,frobenius_norm,-0.15704874835309615,0.30287876279813175,-0.0035573122529644263,0.9814973478645641,-0.023188405797101446,0.8798214940589393,45,0.7067171131956408,False
rest,rotation_norm,-0.2263504611330698,0.13487300534472427,-0.03241106719367589,0.8326085140057651,-0.09183135704874834,0.5485339709105113,45,0.4784684357268274,False
rest,trace,0.14071146245059288,0.3565507513016818,-0.12964426877470356,0.39599387094755534,-0.014888010540184453,0.9226734246316719,45,0.7487565777335318,False
rest,spectral_radius,-0.06166007905138339,0.6874102242998845,0.00606060606060606,0.9684821482302133,0.0152832674571805,0.920626967931274,45,0.917217339640297,False
rest,rotational_power,-0.32411067193675885,0.029853699282602078,-0.016600790513833993,0.9138091795284102,-0.14808959156785242,0.3316344119343071,45,0.20897589497821456,False
rest,aci,-0.32411067193675885,0.029853699282602078,-0.016600790513833993,0.9138091795284102,-0.14808959156785242,0.3316344119343071,45,0.20897589497821456,False
rest,mdr,0.3519104084321475,0.01775725047322094,-0.03227931488801054,0.8332793068578758,0.06745718050065876,0.6597308842069531,45,0.20897589497821456,False
