subject_id,n_epochs_gg,n_epochs_cc,n_epochs_rest,min_epochs
sub-S200116,873,225,124,124
sub-S200120,894,246,122,122
sub-S200121,956,244,125,125
sub-S200122,902,259,125,125
sub-S200131,1019,264,124,124
sub-S200205,910,266,126,126
sub-S200207,895,264,137,137
sub-S200211,874,238,123,123
sub-S200212,914,252,122,122
sub-S200214,883,239,125,125
sub-S200217,598,240,122,122
sub-S200221,933,264,124,124
sub-S200225,964,263,123,123
sub-S200228,914,269,121,121
sub-S200302,907,267,123,123
sub-S200303,878,258,122,122
sub-S200306,865,245,144,144
sub-S200309,864,248,122,122
sub-S200310,945,259,122,122
sub-S200311,884,261,119,119
sub-S200313,892,244,120,120
sub-S201105,931,265,123,123
sub-S201118,898,262,122,122
sub-S201120,907,259,122,122
sub-S201126,947,330,123,123
sub-S201210,949,271,148,148
sub-S201222,878,266,123,123
sub-S201223,952,257,121,121
sub-S210118,941,268,123,123
sub-S210120,952,277,121,121
sub-S210127,889,269,125,125
sub-S210128,896,265,128,128
sub-S210202,965,245,124,124
sub-S210203,899,255,122,122
sub-S210204,938,251,122,122
sub-S210208,856,249,122,122
sub-S210209,900,238,122,122
sub-S210215,875,254,121,121
sub-S210217,907,259,120,120
sub-S210224,885,257,122,122
sub-S210225,906,244,124,124
sub-S210315,912,266,122,122
sub-S210316,1162,280,122,122
sub-S210317,876,261,121,121
