dataset_id,subject_id,session_id,condition_label,task_label,out_group,in_group,out_dim,in_dim,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
ds004511:sub-S200116:ses-01_cognitive_control_run-01,sub-S200116,ses-01,,cognitive_control,m,m,3,3,225,0.02488538483157754,0.18372422456741333,43.90347886191474,,
ds004511:sub-S200116:ses-01_cognitive_control_run-01,sub-S200116,ses-01,,cognitive_control,m,d,3,3,225,,0.15250566601753235,,0.12977378514077928,0.15005339645677143
ds004511:sub-S200116:ses-01_cognitive_control_run-01,sub-S200116,ses-01,,cognitive_control,m,e,3,3,225,,0.13531607389450073,,0.13009520893295606,0.14932119035058553
ds004511:sub-S200116:ses-01_cognitive_control_run-01,sub-S200116,ses-01,,cognitive_control,d,m,3,3,225,,0.23328734934329987,,0.12977378514077928,0.15005339645677143
ds004511:sub-S200116:ses-01_cognitive_control_run-01,sub-S200116,ses-01,,cognitive_control,d,d,3,3,225,0.06794050234887335,0.20341138541698456,150.56589707056682,,
ds004511:sub-S200116:ses-01_cognitive_control_run-01,sub-S200116,ses-01,,cognitive_control,d,e,3,3,225,,0.18468472361564636,,0.1192179258664449,0.14731445355547798
ds004511:sub-S200116:ses-01_cognitive_control_run-01,sub-S200116,ses-01,,cognitive_control,e,m,3,3,225,,0.24074599146842957,,0.13009520893295606,0.14932119035058553
ds004511:sub-S200116:ses-01_cognitive_control_run-01,sub-S200116,ses-01,,cognitive_control,e,d,3,3,225,,0.19259032607078552,,0.1192179258664449,0.14731445355547798
ds004511:sub-S200116:ses-01_cognitive_control_run-01,sub-S200116,ses-01,,cognitive_control,e,e,3,3,225,-0.07991019437503484,0.17118580639362335,30.03624964396159,,
ds004511:sub-S200116:ses-01_rest_run-01,sub-S200116,ses-01,,rest,m,m,3,3,124,-0.010547890677116811,0.288041353225708,64.54907809149834,,
ds004511:sub-S200116:ses-01_rest_run-01,sub-S200116,ses-01,,rest,m,d,3,3,124,,0.21622003614902496,,0.16752237087536243,0.1900495822511373
ds004511:sub-S200116:ses-01_rest_run-01,sub-S200116,ses-01,,rest,m,e,3,3,124,,0.1488412767648697,,0.157966029469765,0.1579354768018088
ds004511:sub-S200116:ses-01_rest_run-01,sub-S200116,ses-01,,rest,d,m,3,3,124,,0.2821003794670105,,0.16752237087536243,0.1900495822511373
ds004511:sub-S200116:ses-01_rest_run-01,sub-S200116,ses-01,,rest,d,d,3,3,124,0.07940158612966057,0.2287699580192566,52.26391416019009,,
ds004511:sub-S200116:ses-01_rest_run-01,sub-S200116,ses-01,,rest,d,e,3,3,124,,0.1797558069229126,,0.13294312261766003,0.15894651665322243
ds004511:sub-S200116:ses-01_rest_run-01,sub-S200116,ses-01,,rest,e,m,3,3,124,,0.2697961926460266,,0.157966029469765,0.1579354768018088
ds004511:sub-S200116:ses-01_rest_run-01,sub-S200116,ses-01,,rest,e,d,3,3,124,,0.23339495062828064,,0.13294312261766003,0.15894651665322243
ds004511:sub-S200116:ses-01_rest_run-01,sub-S200116,ses-01,,rest,e,e,3,3,124,-0.061138819861826635,0.18562808632850647,23.49335894469292,,
ds004511:sub-S200116:ses-01_gambling_run-01,sub-S200116,ses-01,,gambling,m,m,3,3,873,0.019606909339123096,0.1894626021385193,63.89219860440677,,
ds004511:sub-S200116:ses-01_gambling_run-01,sub-S200116,ses-01,,gambling,m,d,3,3,873,,0.16523118317127228,,0.1276557360437591,0.13232782370446064
ds004511:sub-S200116:ses-01_gambling_run-01,sub-S200116,ses-01,,gambling,m,e,3,3,873,,0.15829657018184662,,0.11958426435532439,0.12757261015927124
ds004511:sub-S200116:ses-01_gambling_run-01,sub-S200116,ses-01,,gambling,d,m,3,3,873,,0.19586314260959625,,0.1276557360437591,0.13232782370446064
ds004511:sub-S200116:ses-01_gambling_run-01,sub-S200116,ses-01,,gambling,d,d,3,3,873,-0.0035640874846634652,0.1731538325548172,144.09231123386243,,
ds004511:sub-S200116:ses-01_gambling_run-01,sub-S200116,ses-01,,gambling,d,e,3,3,873,,0.16621649265289307,,0.10715195016011612,0.12345655412676682
ds004511:sub-S200116:ses-01_gambling_run-01,sub-S200116,ses-01,,gambling,e,m,3,3,873,,0.1842651516199112,,0.11958426435532439,0.12757261015927124
ds004511:sub-S200116:ses-01_gambling_run-01,sub-S200116,ses-01,,gambling,e,d,3,3,873,,0.1581701934337616,,0.10715195016011612,0.12345655412676682
ds004511:sub-S200116:ses-01_gambling_run-01,sub-S200116,ses-01,,gambling,e,e,3,3,873,-0.012009143237001077,0.15553897619247437,33.141901004082285,,
ds004511:sub-S200120:ses-01_cognitive_control_run-01,sub-S200120,ses-01,,cognitive_control,m,m,3,3,246,0.019590455756666576,0.23302441835403442,45.26969300537574,,
ds004511:sub-S200120:ses-01_cognitive_control_run-01,sub-S200120,ses-01,,cognitive_control,m,d,3,3,246,,0.1659020483493805,,0.1578910323844208,0.17581016020622195
ds004511:sub-S200120:ses-01_cognitive_control_run-01,sub-S200120,ses-01,,cognitive_control,m,e,3,3,246,,0.13581177592277527,,0.1468847383540578,0.15428770528879107
ds004511:sub-S200120:ses-01_cognitive_control_run-01,sub-S200120,ses-01,,cognitive_control,d,m,3,3,246,,0.27915307879447937,,0.1578910323844208,0.17581016020622195
ds004511:sub-S200120:ses-01_cognitive_control_run-01,sub-S200120,ses-01,,cognitive_control,d,d,3,3,246,-0.025245029490622805,0.22560280561447144,25.56789179497618,,
ds004511:sub-S200120:ses-01_cognitive_control_run-01,sub-S200120,ses-01,,cognitive_control,d,e,3,3,246,,0.1793152391910553,,0.13449198617864916,0.14657129834943672
ds004511:sub-S200120:ses-01_cognitive_control_run-01,sub-S200120,ses-01,,cognitive_control,e,m,3,3,246,,0.26458418369293213,,0.1468847383540578,0.15428770528879107
ds004511:sub-S200120:ses-01_cognitive_control_run-01,sub-S200120,ses-01,,cognitive_control,e,d,3,3,246,,0.20934776961803436,,0.13449198617864916,0.14657129834943672
ds004511:sub-S200120:ses-01_cognitive_control_run-01,sub-S200120,ses-01,,cognitive_control,e,e,3,3,246,0.0021425608537970035,0.15289047360420227,41.194580043234474,,
ds004511:sub-S200120:ses-01_rest_run-01,sub-S200120,ses-01,,rest,m,m,3,3,122,-0.033241010784385266,0.2529750168323517,39.900834912159404,,
ds004511:sub-S200120:ses-01_rest_run-01,sub-S200120,ses-01,,rest,m,d,3,3,122,,0.15236961841583252,,0.1133229410672774,0.14608285576105118
ds004511:sub-S200120:ses-01_rest_run-01,sub-S200120,ses-01,,rest,m,e,3,3,122,,0.16343310475349426,,0.13265679336962152,0.15589619977552382
ds004511:sub-S200120:ses-01_rest_run-01,sub-S200120,ses-01,,rest,d,m,3,3,122,,0.20843949913978577,,0.1133229410672774,0.14608285576105118
ds004511:sub-S200120:ses-01_rest_run-01,sub-S200120,ses-01,,rest,d,d,3,3,122,0.046967663496854856,0.18189163506031036,52.351108979006284,,
ds004511:sub-S200120:ses-01_rest_run-01,sub-S200120,ses-01,,rest,d,e,3,3,122,,0.16020861268043518,,0.13069908742289074,0.1483272715914445
ds004511:sub-S200120:ses-01_rest_run-01,sub-S200120,ses-01,,rest,e,m,3,3,122,,0.23218005895614624,,0.13265679336962152,0.15589619977552382
